target_id	SRR26331018	SRR26331020	SRR26331021	SRR26331017	SRR26331016
at5g38396.1	0.0	0.0	0.0	0.0	0.0369905
at4g24730.2	3.50738	5.91713	5.13834	3.0608	2.59812
at4g24730.1	3.50738	5.91713	5.13834	3.0608	2.59812
at3g56910.1	25.3536	35.917	22.3323	12.0661	8.69723
at5g50020.3	0.802479	0.0931412	1.28722e-08	1.20695	3.43677
at5g50020.2	4.14004	5.63166	3.95864	8.69583	7.33644
at5g50020.1	0.0	0.0	0.0	0.0	0.0
at5g11920.3	3.55847	3.19537	5.34911	15.4009	0.642089
at5g11920.1	3.10503	2.65102	7.21325	6.5767	4.61144
at5g11920.2	0.0	0.0	0.0	0.0	0.0
at3g28956.8	3.58241	4.13617	2.68429	4.02854	2.8864
at3g28956.5	0.0	0.0	0.0	0.0	0.0
at3g28956.9	0.0	0.0	0.0	0.0	0.0
at3g28956.12	0.0	0.0	0.0	0.0	0.0
at3g28956.3	3.58241	4.13617	2.68429	4.02854	2.8864
at3g28956.11	0.0	0.0	0.0	0.0	0.0
at3g28956.6	0.0	0.0	0.0	0.0	0.0
at3g28956.2	0.0	0.0	0.0	0.0	0.0
at3g28956.1	0.0	0.0	0.0	0.0	0.0
at3g28956.7	0.0	0.0	0.0	0.0	0.0
at3g28956.10	3.58241	4.13617	2.68429	4.02854	2.8864
at3g28956.4	31.702	6.81093	5.67454	1.26475	18.6946
at2g18800.1	0.129556	0.0	0.329186	0.064029	0.183666
at3g28060.1	0.0	0.0	0.0	0.0	0.0
at3g59490.1	3.45806	0.667685	0.0	1.34822	0.0
at3g59490.3	0.0	0.0	0.0	0.201113	0.0
at3g59490.2	2.48402	5.29159	3.75287	2.76221	3.0291
at3g59490.4	0.0	0.846754	0.442501	0.990041	0.0
at5g67280.1	0.950981	1.42088	0.920504	2.39472	1.86175
at3g62400.1	184.046	121.18	117.306	194.251	67.8081
at3g62400.2	52.5254	56.0565	83.1268	60.0766	59.5704
at2g35850.1	18.7299	1.03647	26.4391	22.6274	5.90058
at4g24610.2	0.015564	3.06716e-07	0.0	1.25377e-07	9.05162e-08
at4g24610.4	0.734426	0.479677	0.146852	0.187182	0.71474
at4g24610.3	0.0238412	7.23691e-07	0.0	9.05976e-07	6.73617e-08
